"","abcb4","abcc2","abcg2a","adgrl1a","agtr1b","aoc2","aplnrb","bcl6b","cldn5a","cxcr4b","dab2","dll4","eGFP","ehd2b","ehd3","esm1","fgf4","hey1","hey2","kdrl","lypd6","myo1hb","osr2","pdgfrb","pecam1","plvapb","prdx1","slc16a1a","slc2a1a","slc7a5","slco1c1","slco1d1","spock3","stab1","stab2","sult2st1","zgc.158423","zic2b","x","y","blood","cell_type","cor"
"cell_32450",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,19652,8472,"blood_833","CapEC",0.341
"cell_32463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,20063,8473,"blood_835","CapEC",0.739
"cell_32476",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27575,8480,"blood_834","UnEC",0.099
"cell_32480",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,20075,8479,"blood_835","CapEC",0.292
"cell_32487",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,27119,8479,"blood_832","AEC",0.193
"cell_32517",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20127,8479,"blood_838","AEC",0.428
"cell_32533",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19612,8483,"blood_837","CapEC",0.677
"cell_32537",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,19670,8483,"blood_833","VEC_2",0.05
"cell_32540",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,26748,8487,"blood_811","CapEC",0.006
"cell_32705",0,0,1,0,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27336,8507,"blood_842","AEC",0.398
